"trait","valence","desirability","category","interpersonal","observability","prevalence","clusterName","cluster","outDegree","inDegree","between","eigen","close","efficiency","transitivity","pageRank"
"Accurate","positive",5.75,1.829,3.778,4.737,4.053,"Knowledgeable",3,32,16,100.823013482528,0.340433552476513,0.00392156862745098,0.692204301075269,0.270390070921986,0.00485327125826713
"Benevolent","positive",5.938,1.906,4.833,4.316,4.368,"Respectful",2,12,16,53.7684848869456,0.380037094839676,0.00363636363636364,0.810606060606061,0.349206349206349,0.00543439842505159
"Calm","positive",6.25,1.453,4.389,5.526,4.947,"Thoughtful",4,35,27,400.853852849096,0.463923845974982,0.00401606425702811,0.700840336134454,0.181385510312004,0.0100342349225695
"Capable","positive",6.25,1.197,4.167,5.105,5.105,"Knowledgeable",3,31,20,173.148107551074,0.374184507300904,0.00396825396825397,0.701433691756272,0.276862745098039,0.0057084018457158
"Casual","positive",5.75,1.348,4.722,4.842,5.211,"Respectful",2,8,24,77.9363795634642,0.412129025916859,0.00371747211895911,0.663690476190476,0.256048387096774,0.0103151187853077
"Charitable","positive",6,1.269,5.111,4.842,4.105,"Respectful",2,17,18,46.2318870962147,0.394837352844053,0.00371747211895911,0.785539215686274,0.39327731092437,0.00582591924435381
"Charming","positive",6.25,1.682,5.722,4.889,4.895,"Outgoing",5,18,41,236.717316758503,0.741440029730564,0.00398406374501992,0.737472766884532,0.196376388077148,0.0152969823102675
"Clean","positive",6.312,1.805,3.222,5.579,5.105,"Level-headed",1,9,10,46.7487179258731,0.198170270515262,0.00343642611683849,0.689814814814815,0.304093567251462,0.00450846305167854
"Clean-cut","positive",5.562,2.166,2.944,4.842,4.842,"Level-headed",1,3,11,4.81056797566688,0.228962629156233,0.00340136054421769,0.833333333333333,0.428571428571429,0.00389064124248837
"Clear-headed","positive",6.562,1.649,4.222,5.211,4.737,"Knowledgeable",3,29,53,536.700632190414,0.834453788186566,0.00436681222707424,0.694991789819376,0.193014152363746,0.0123692677672424
"Clever","positive",6,1.921,4.278,5.053,4.211,"Thoughtful",4,17,22,98.4423342440996,0.40010723504783,0.00383141762452107,0.736519607843137,0.300944669365722,0.0060361201331844
"Comfortable","positive",6.188,1.125,4.333,5.158,5.158,"Respectful",2,9,41,178.801501133794,0.76854746672539,0.00403225806451613,0.46712962962963,0.280816326530612,0.0148144486293185
"Communicative","positive",5.6,1.801,6.056,5.684,5.158,"Outgoing",5,20,13,134.210611256534,0.212733602293755,0.003690036900369,0.664035087719298,0.234848484848485,0.00499333073560027
"Compassionate","positive",6.25,1.49,5.5,5.158,5.167,"Respectful",2,19,29,103.691382589141,0.560164120168127,0.00390625,0.736842105263158,0.276595744680851,0.00877860238526284
"Composed","positive",5.812,1.704,4.611,5.368,5.053,"Level-headed",1,25,14,78.6795165331276,0.256086621101995,0.00378787878787879,0.745,0.311740890688259,0.00407152208787404
"Concise","positive",5.375,1.724,4.167,4.368,4.105,"Knowledgeable",3,14,10,24.5233776918606,0.195001960822218,0.00355871886120996,0.756410256410256,0.438405797101449,0.003422127279565
"Confident","positive",6.5,1.551,4.667,5.632,4.947,"Thoughtful",4,20,16,100.500313539086,0.22937247826854,0.00380228136882129,0.676315789473684,0.255555555555556,0.00410320487312867
"Conscientious","positive",5.938,1.704,4.889,4.684,4.105,"Level-headed",1,17,19,68.2939644225166,0.418172562893328,0.00383141762452107,0.67218137254902,0.39047619047619,0.00532483114374564
"Considerate","positive",6.25,1.629,6.111,5.632,5.158,"Respectful",2,29,30,181.613049043101,0.631052632032963,0.004,0.762315270935961,0.265341905318527,0.00807094436806315
"Constructive","positive",5.8,1.435,4.882,4.842,4.737,"Knowledgeable",3,14,9,32.6227029977487,0.157767186995907,0.00359712230215827,0.732600732600733,0.367588932806324,0.00296644319518522
"Contemplative","positive",5.438,1.944,4.056,4.526,4.474,"Knowledgeable",3,16,5,7.87044054554056,0.0922833616323655,0.003584229390681,0.702777777777778,0.471428571428571,0.00176339102939906
"Cooperative","positive",6.562,1.622,5.722,5.211,5.474,"Respectful",2,48,14,178.219814028231,0.288969005184019,0.004149377593361,0.671690307328605,0.265996827075621,0.00398975155286163
"Cordial","positive",5.938,1.853,5.778,5.211,4.684,"Respectful",2,17,25,120.766646128061,0.492238678577864,0.00386100386100386,0.751225490196078,0.290360046457607,0.00765064581920604
"Courageous","positive",6.062,1.249,4.611,4.842,4.222,"Thoughtful",4,18,15,137.167007834572,0.235597505211177,0.00378787878787879,0.62363834422658,0.272727272727273,0.00589475320527325
"Dedicated","positive",5.5,1.993,4.389,4.842,5.105,"Knowledgeable",3,26,32,254.988180964854,0.501783316071686,0.00401606425702811,0.667948717948718,0.216575922565033,0.00795587886794985
"Deep","positive",5.438,1.326,3.444,3.947,4,"Knowledgeable",3,16,17,84.1975887563875,0.289774471377997,0.00374531835205993,0.609027777777778,0.284090909090909,0.00513288517973377
"Deliberate","positive",5.25,1.704,3.889,4.684,4.895,"Knowledgeable",3,21,18,62.1233622663581,0.352753909463686,0.0037593984962406,0.768253968253968,0.306342780026991,0.00511776196285479
"Delicate","positive",5.062,1.562,4.278,4.947,4,"Level-headed",1,9,8,35.8373629425972,0.144133176513684,0.0033112582781457,0.560185185185185,0.220588235294118,0.00500954074172302
"Democratic","positive",5.5,1.437,4.556,4.474,4.632,"Level-headed",1,11,25,87.6657206204538,0.426712133018268,0.00381679389312977,0.630909090909091,0.282539682539683,0.00615775029105813
"Dependable","positive",6.125,1.616,5.167,5.263,4.842,"Level-headed",1,30,15,121.625266260514,0.26124994149684,0.00389105058365759,0.697318007662835,0.27979797979798,0.00397704745571901
"Dignified","positive",6.062,1.698,4.444,5,3.579,"Level-headed",1,10,51,201.096011090723,0.975163340751846,0.00416666666666667,0.692592592592593,0.286885245901639,0.0170816052819764
"Disciplined","positive",5.625,1.6,4.222,5.211,4.842,"Knowledgeable",3,39,19,181.945932667176,0.299978810440881,0.00401606425702811,0.728520017993702,0.252873563218391,0.00561755382775514
"Eager","positive",5.375,1.622,4.111,5.211,4.895,"Knowledgeable",3,3,5,4.68015047985812,0.0744292433813645,0.00315457413249211,0.833333333333333,0.214285714285714,0.00238190642274973
"Economical","positive",5.312,1.801,3.444,4.737,4.737,"Knowledgeable",3,6,10,10.6921735030163,0.169195257984786,0.00338983050847458,0.8,0.458333333333333,0.0035445796651671
"Elegant","positive",5.188,1.197,4,5.421,3.579,"Level-headed",1,5,18,26.1900071470782,0.398153553486508,0.00359712230215827,0.783333333333333,0.383399209486166,0.00766497226635452
"Enthusiastic","positive",6.062,1.6,4.667,5.579,5,"Outgoing",5,12,27,202.100756408936,0.404467662365841,0.00381679389312977,0.577020202020202,0.209176788124157,0.00859003116661644
"Ethical","positive",5.875,1.693,4.889,4.684,5.158,"Respectful",2,25,37,281.839883401767,0.685224915185486,0.0040983606557377,0.680833333333333,0.243257535695399,0.01121329315279
